dataset,generator,parser,n_prompts,n_images,method,csr_obj,csr_attr,csr_rel,csr_count,csr_text,csr_all,source
self-built-50 rerun,SDXL,Qwen2.5-VL-7B-Instruct,50,200,All candidates mean,0.7821,0.5625,0.3953,0.3810,0.5893,0.5865,server_audits/server_004_self50_rerun_20260513_1239/outputs/sc_select_summary.json
self-built-50 rerun,SDXL,Qwen2.5-VL-7B-Instruct,50,50,Fixed Seed-0,0.7350,0.5048,0.3803,0.4405,0.4286,0.5499,outputs/selections/self_built_50_rerun_clipscore_20260513_1239/baseline_summary.csv
self-built-50 rerun,SDXL,Qwen2.5-VL-7B-Instruct,50,50,Random Select mean,0.7920,0.5500,0.4000,0.4024,0.6000,0.5940,outputs/selections/self_built_50_rerun_clipscore_20260513_1239/baseline_summary.csv
self-built-50 rerun,SDXL,Qwen2.5-VL-7B-Instruct,50,50,CLIPScore-Select Best-of-4,0.7717,0.5738,0.3675,0.4405,0.8571,0.6201,server_audits/server_004_self50_rerun_20260513_1239/outputs/ablation_clipscore_vs_csr.json
self-built-50 rerun,SDXL,Qwen2.5-VL-7B-Instruct,50,50,CSR-Select Best-of-4,0.8533,0.7548,0.5812,0.5000,0.9286,0.7456,server_audits/server_004_self50_rerun_20260513_1239/outputs/ablation_clipscore_vs_csr.json
