dataset,generator,parser,method,num_prompts,num_images,csr_obj,csr_attr,csr_rel,csr_count,csr_text,csr_all
GenEval-553,SDXL,Qwen2.5-VL-7B-Instruct,All candidates mean,553,2212,0.8352169981916817,0.27190721649484534,0.02,0.415625,,0.6363019891500904
GenEval-553,SDXL,Qwen2.5-VL-7B-Instruct,Fixed Seed-0,553,553,0.8273056057866185,0.27835051546391754,0.03,0.375,,0.629746835443038
GenEval-553,SDXL,Qwen2.5-VL-7B-Instruct,CLIPScore-Select Best-of-4,553,553,0.8598553345388789,0.25257731958762886,0.03,0.475,,0.6528028933092225
GenEval-553,SDXL,Qwen2.5-VL-7B-Instruct,CSR-Select Best-of-4,553,553,0.9349005424954792,0.5335051546391752,0.08,0.825,,0.7820976491862568
